impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-098005,A524492,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524492,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Raider,Dog,4 YEARS,Neutered Male,German Shepherd,Black / Tan,04/19/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524492,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-19<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Black / Tan Neutered Male German Shepherd Dog<p></p> Age: 4 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098148,A524835,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524835,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Male,Domestic Shorthair,Brn Tabby / White,04/25/2017 12:00:00 AM,Received on,11400 NE 19TH ST,BELLEVUE,WA,98004,BELLEVUE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524835,Image Copyright HLP Inc. 2017,"11400 NE 19TH ST
BELLEVUE, WA 98004
","Received on: 2017-04-25<p></p> Found Near: 11400 NE 19TH ST, BELLEVUE WA 98004<p></p> Description: Brn Tabby / White Male Domestic Shorthair Cat<p></p> Age: 1 YEAR<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K13-066766,A407026,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Kiki,Cat,14 YEARS,Spayed Female,Domestic Shorthair,Black,05/11/2013 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,FEDERAL WAY,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A407026,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2013-05-11<p></p> Description: Black Spayed Female Domestic Shorthair Cat<p></p> Age: 14 YEARS<p></p> Current Location: In RASKC Foster Home <p></p><p></p>Hi, my name if Kiki.  I am a 10 year old lady who came to the shelter because my previous owner had to move and could not take me along.  If you love black kitties and you are looking for a calm influence, I could be the one for you.<p></p><p></p>I am slightly reserved but appreciate the attention you give me and like to have you pet my head.  I would do best in a home with no small children as I can be just a little bit shy.  I will make a good companion for the right person, so please come and see me soon.<p></p><p></p><p></p>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-098138,A524824,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524824,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Female,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524824,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-25<p></p> Description: White<p></p>  Female Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-097853,A523338,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A523338,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Chuckie,Dog,8 YEARS,Neutered Male,Pointer,White / Liver,04/11/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523338,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-11<p></p> Description: White / Liver<p></p>  Neutered Male Pointer Dog<p></p> Age: 8 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Chuckie and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by an Animal Control Officer on April 3, 2017.<p></p><p></p>Staff and volunteers have said great things about me like the fact that I am a total sweetheart! I am always happy, love to play ball, and am very gentle and responsive.<p></p><p></p>I am a very smart dog!  I have shown my caregivers that I already know how to &quot;sit&quot;, &quot;stay&quot;, &quot;come&quot;, &quot;down&quot; and &quot;shake&quot;. I am also very good on leash!<p></p><p></p>My caregivers have observed that I might not get along with other dogs.  I may do best as the only dog in my new home, or need to meet other dogs in the home first.<p></p><p></p>My personality color is GREEN.  I am an adaptable dog who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p> Adoption Fee: $150.00<p></p>"
K17-098097,A524638,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,5 WEEKS,Unaltered,Domestic Shorthair,Gray,04/23/2017 12:00:00 AM,Received on,4700 S 172ND PL,SEATAC,WA,98188,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524638,Image Copyright HLP Inc. 2017,"4700 S 172ND PL
SEATAC, WA 98188
","Received on: 2017-04-23<p></p> Found Near: 4700 S 172ND PL, SEATAC WA 98188<p></p> Description: Gray Unaltered Domestic Shorthair Cat<p></p> Age: 5 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-098146,A524832,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524832,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524832,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-25<p></p> Description: White<p></p>  Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-097864,A523981,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,5 YEARS,Female,Domestic Longhair,Orange / White,04/12/2017 12:00:00 AM,Received on,15200 DAYTON AVE N,SHORELINE,WA,98133,SHORELINE,,,,Image Copyright HLP Inc. 2017,"15200 DAYTON AVE N
SHORELINE, WA 98133
","Received on: 2017-04-12<p></p> Found Near: 15200 DAYTON AVE N, SHORELINE WA 98133<p></p> Description: Orange / White Female Domestic Longhair Cat<p></p> Age: 5 YEARS<p></p>"
K17-098137,A524823,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1704892,LOST,Tucker,Dog,Unknown,Male,Queensland Heeler,Unknown,04/25/2017 12:00:00 AM,Date Lost,4200 S 160TH ST,TUKWILA,WA,98188,TUKWILA,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1704892,Image Copyright HLP Inc. 2017,"4200 S 160TH ST
TUKWILA, WA 98188
","Description: He is white and beige, with a red harness and a &quot;Im with Leashes'n'Love&quot; tag with our phone number.<p></p>Age: Unknown<p></p>Location Lost: 4211 s 160th st<p></p>Notes: He is VERY shy and timid, will NOT come if called. Ran away from Grandview off leash dog park.<p></p>Lost Date: 04/25/2017<p></p>"
K17-098116,A524760,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524760,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Female,Domestic Shorthair,White / Ruddy,04/24/2017 12:00:00 AM,Received on,11400 NE 86TH ST,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524760,Image Copyright HLP Inc. 2017,"11400 NE 86TH ST
KIRKLAND, WA 98033
","Received on: 2017-04-24<p></p> Found Near: 11400 NE 86TH ST, KIRKLAND WA 98033<p></p> Description: White / Ruddy Female Domestic Shorthair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097817,A523716,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Pig,NO AGE,Unaltered,Pig,Brown,04/08/2017 12:00:00 AM,Received on,,29000 SE MUD MOUTAIN RD EN,EN,MCLAW,KING COUNTY,,,,Image Copyright HLP Inc. 2017,"29000 SE MUD MOUTAIN RD EN, EN MCLAW
",Received on: 2017-04-08<p></p> Found Near: 29000 SE MUD MOUTAIN RD ENUMCLAW<p></p> Description: Brown Unaltered Pig Pig<p></p> Age: NO AGE<p></p>
K17-097890,A524068,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524068,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Stanley,Dog,6 YEARS,Neutered Male,Staffordshire Bull Terrier,Tan,04/13/2017 12:00:00 AM,Received on,4400 S 313TH ST,AUBURN,WA,98001,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524068,Image Copyright HLP Inc. 2017,"4400 S 313TH ST
AUBURN, WA 98001
","Received on: 2017-04-13<p></p> Found Near: 4400 S 313TH ST, AUBURN WA 98001<p></p> Description: Tan Neutered Male Staffordshire Bull Terrier Dog<p></p> Age: 6 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098141,A524827,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524827,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Female,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524827,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-25<p></p> Description: White<p></p>  Female Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-098050,A524584,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Male,Domestic Mediumhair,Org Tabby,04/21/2017 12:00:00 AM,Received on,14200 26TH PL S,SEATAC,WA,98168,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524584,Image Copyright HLP Inc. 2017,"14200 26TH PL S
SEATAC, WA 98168
","Received on: 2017-04-21<p></p> Found Near: 14200 26TH PL S, SEATAC WA 98168<p></p> Description: Org Tabby Male Domestic Mediumhair Cat<p></p> Age: 6 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-098007,A524495,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524495,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jody,Cat,8 YEARS,Spayed Female,Domestic Longhair,Brn Tabby / White,04/19/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524495,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-19<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby / White Spayed Female Domestic Longhair Cat<p></p> Age: 8 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098006,A524494,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524494,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Toby,Dog,5 YEARS,Neutered Male,Rottweiler,Black / Tan,04/19/2017 12:00:00 AM,Received on,16700 31ST AVE S,SEATAC,WA,98188,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524494,Image Copyright HLP Inc. 2017,"16700 31ST AVE S
SEATAC, WA 98188
","Received on: 2017-04-19<p></p> Found Near: 16700 31ST AVE S, SEATAC WA 98188<p></p> Description: Black / Tan Neutered Male Rottweiler Dog<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097852,A523930,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A523930,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Maple,Dog,6 YEARS,Spayed Female,Pit Bull,Brown / White,04/11/2017 12:00:00 AM,Received on,18000 SE 256TH ST,KENT,WA,98042,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523930,Image Copyright HLP Inc. 2017,"18000 SE 256TH ST
KENT, WA 98042
","Received on: 2017-04-11<p></p> Found Near: 18000 SE 256TH ST, KENT WA 98042<p></p> Description: Brown / White Spayed Female Pit Bull Dog<p></p> Age: 6 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097919,A497979,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A497979,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Flower,Cat,1 YEAR 2 MONTHS,Spayed Female,Domestic Shorthair,Black / White,04/14/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A497979,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-14<p></p> Description: Black / White<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 1 YEAR 2 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Flower and I am available for adoption at the RASKC Pet Adoption Center in Kent<p></p><p></p>I was brought in by my previous owner on 4/14/17 because they were could no longer take care of me due to my energetic behavior.  I lived in a home with other cats.  My previous owner described me as outgoing, loving and playful. <p></p><p></p>My personality color is BLUE.  I am a gentle and loving cat who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up.  Once I get to know you, I will be a very devoted friend!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p></p><p></p>Because of my shy nature, I would do best in a calm, quiet home.<p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-098134,A524820,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524820,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Female,Domestic Shorthair,Calico,04/25/2017 12:00:00 AM,Received on,2800 280TH AVE NE,REDMOND,WA,98053,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524820,Image Copyright HLP Inc. 2017,"2800 280TH AVE NE
REDMOND, WA 98053
","Received on: 2017-04-25<p></p> Found Near: 2800 280TH AVE NE, REDMOND WA 98053<p></p> Description: Calico Female Domestic Shorthair Cat<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098147,A524833,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524833,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524833,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097898,A524104,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1699214,LOST,Pablo,Cat,,Male,American Shorthair,Unknown,04/10/2017 12:00:00 AM,Date Lost,NE 100TH STREET & 128TH AVENUE NE,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1699214,Image Copyright HLP Inc. 2017,"NE 100TH STREET &amp; 128TH AVENUE NE
KIRKLAND, WA 98033
",
K17-098145,A524831,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524831,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524831,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-25<p></p> Description: White<p></p>  Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-098008,A524496,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524496,Meowtropolitan,Lucky Tux,Cat,1 YEAR,Neutered Male,Domestic Shorthair,Black / White,04/19/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524496,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-19<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Black / White Neutered Male Domestic Shorthair Cat<p></p> Age: 1 YEAR<p></p> Current Location: Meowtropolitan<p></p>"
K17-097837,A523864,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A523864,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Wilber,Cat,7 YEARS,Neutered Male,Domestic Longhair,Black / White,04/10/2017 12:00:00 AM,Received on,12600 SE 42ND ST,BELLEVUE,WA,98006,BELLEVUE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523864,Image Copyright HLP Inc. 2017,"12600 SE 42ND ST
BELLEVUE, WA 98006
","Received on: 2017-04-10<p></p> Found Near: 12600 SE 42ND ST, BELLEVUE WA 98006<p></p> Description: Black / White Neutered Male Domestic Longhair Cat<p></p> Age: 7 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>"
K17-097397,A067279,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A067279,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Snoopy,Dog,12 YEARS,Spayed Female,Jack Russell Terrier / Wire Fox Terrier,White / Black,03/23/2017 12:00:00 AM,Received on,24400 180TH AVE SE,KENT,WA,98042,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A067279,Image Copyright HLP Inc. 2017,"24400 180TH AVE SE
KENT, WA 98042
","Received on: 2017-03-23<p></p> Found Near: 24400 180TH AVE SE, KENT WA 98042<p></p> Description: White / Black Spayed Female Jack Russell Terrier / Wire Fox Terrier Dog<p></p> Age: 12 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098062,A524596,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524596,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tommy Boy,Cat,1 YEAR,Neutered Male,Domestic Shorthair,Gray Tabby,04/21/2017 12:00:00 AM,Received on,7500 124TH AVE NE,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524596,Image Copyright HLP Inc. 2017,"7500 124TH AVE NE
KIRKLAND, WA 98033
","Received on: 2017-04-21<p></p> Found Near: 7500 124TH AVE NE, KIRKLAND WA 98033<p></p> Description: Gray Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 1 YEAR<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098007,A524495,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524495,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jody,Cat,8 YEARS,Spayed Female,Domestic Longhair,Brn Tabby / White,04/19/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524495,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-19<p></p> Description: Brn Tabby / White<p></p>  Spayed Female Domestic Longhair Cat<p></p> Age: 8 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Jody and I am available for adoption at the RASKC Pet Adoption Center in Kent <p></p><p></p>I was transferred here from the Colville Valley Animal Sanctuary on 04/19/2017<p></p><p></p><p></p>My personality color is BLUE.  I am a gentle and loving cat who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up.  Once I get to know you, I will be a very devoted friend!<p></p><p></p>I am an independent kitty who likes to do my own thing!<p></p><p></p>Because of my shy nature, I would do best in a calm, quiet home.<p></p> Adoption Fee: $30.00<p></p>"
K16-094395,A509871,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Gertie,Cat,10 YEARS,Spayed Female,Domestic Longhair,Black,10/16/2016 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A509871,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)",Received on: 2016-10-16<p></p> Description: Black Spayed Female Domestic Longhair Cat<p></p> Age: 10 YEARS<p></p> Current Location: In RASKC Foster Home <p></p><p></p>Adoption Fee: $30.00<p></p>
K17-097565,A522963,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1692618,LOST,,Dog,,Male,Labrador Retriever,Unknown,03/26/2017 12:00:00 AM,Date Lost,MARTIN LUTHER KING JR WAY & MARTIN LUTHER KING JR WAY,SEATTLE,WA,98122,SEATTLE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1692618,Image Copyright HLP Inc. 2017,"MARTIN LUTHER KING JR WAY &amp; MARTIN LUTHER KING JR WAY
SEATTLE, WA 98122
",
K17-097043,A521421,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Matt,Dog,2 YEARS,Neutered Male,Lhasa Apso / Mix,White / Black,02/28/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,BELLEVUE,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A521421,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2017-02-28<p></p> Description: White / Black Neutered Male Lhasa Apso / Mix Dog<p></p> Age: 2 YEARS<p></p> Current Location: In RASKC Foster Home <p></p>Hi!  My name is Matt and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by a good samaritan on February 28th, 2017. <p></p><p></p>My personality color is BLUE.  I am a gentle and loving dog who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up.  Once I get to know you, I will be a very devoted friend!<p></p><p></p>Once we become friends, I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>My caregivers are unsure how I would do with other dogs.  When meeting dogs in a new home, I would do best with a slow introduction.<p></p><p></p>Adoption Fee: $200.00<p></p>"
K17-097617,A523070,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A523070,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Scamper,Cat,5 YEARS,Neutered Male,Domestic Shorthair,Gray,03/29/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523070,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-03-29<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Gray Neutered Male Domestic Shorthair Cat<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098139,A524825,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524825,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Female,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524825,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-25<p></p> Description: White<p></p>  Female Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-097512,A522746,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1691264,LOST,Zeus,Cat,,Male,American Shorthair,Unknown,03/23/2017 12:00:00 AM,Date Lost,NE 19TH PLACE & BELLEVUE WAY NE,BELLEVUE,WA,98004,BELLEVUE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1691264,Image Copyright HLP Inc. 2017,"NE 19TH PLACE &amp; BELLEVUE WAY NE
BELLEVUE, WA 98004
",
K17-098036,A524565,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1702385,LOST,Percy,Cat,,Male,Domestic Longhair,Unknown,04/20/2017 12:00:00 AM,Date Lost,19TH AVENUE & MARKET ST,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1702385,Image Copyright HLP Inc. 2017,"19TH AVENUE &amp; MARKET ST
KIRKLAND, WA 98033
",
